city,date,min_temp,max_temp,weather,rp,rainfall
Bujumbura (Burundi),2025-06-13,21.25°C,27.07°C,약간의 구름이 낀 하늘,4%,0mm
Bujumbura (Burundi),2025-06-14,20.24°C,27.05°C,약간의 구름이 낀 하늘,4%,0mm
Bujumbura (Burundi),2025-06-15,20°C,27°C,약간의 구름이 낀 하늘,2%,0mm
Bujumbura (Burundi),2025-06-16,19.64°C,27.04°C,튼구름,0%,0mm
Bujumbura (Burundi),2025-06-17,19.73°C,26.8°C,온흐림,4%,0mm
Bujumbura (Burundi),2025-06-18,19.86°C,27.03°C,실 비,37%,0.98mm
Praia (Cabo Verde),2025-06-12,21.86°C,25.26°C,구름조금,0%,0mm
Praia (Cabo Verde),2025-06-13,21.9°C,24.99°C,맑음,0%,0mm
Praia (Cabo Verde),2025-06-14,22.1°C,25.25°C,구름조금,0%,0mm
Praia (Cabo Verde),2025-06-15,22.18°C,25.07°C,약간의 구름이 낀 하늘,0%,0mm
Praia (Cabo Verde),2025-06-16,21.76°C,25.02°C,맑음,0%,0mm
Praia (Cabo Verde),2025-06-17,21.62°C,24.86°C,맑음,0%,0mm
Praia (Cabo Verde),2025-06-18,21.56°C,24.83°C,맑음,0%,0mm
Phnum Pénh (Phnom Penh) (Cambodia),2025-06-12,24.11°C,27.61°C,온흐림,60%,0mm
Phnum Pénh (Phnom Penh) (Cambodia),2025-06-13,25.59°C,30.08°C,실 비,66%,0.48mm
Phnum Pénh (Phnom Penh) (Cambodia),2025-06-14,26.39°C,33.48°C,온흐림,0%,0mm
Phnum Pénh (Phnom Penh) (Cambodia),2025-06-15,26.75°C,35.63°C,온흐림,0%,0mm
Phnum Pénh (Phnom Penh) (Cambodia),2025-06-16,26.6°C,34.11°C,온흐림,0%,0mm
Phnum Pénh (Phnom Penh) (Cambodia),2025-06-17,27.11°C,33.77°C,보통 비,100%,6.36mm
Phnum Pénh (Phnom Penh) (Cambodia),2025-06-18,25.57°C,33.08°C,보통 비,100%,18.48mm
Yaoundé (Cameroon),2025-06-12,19.8°C,28.07°C,실 비,83%,5.57mm
Yaoundé (Cameroon),2025-06-13,19.46°C,25.84°C,보통 비,100%,12.81mm
Yaoundé (Cameroon),2025-06-14,18.87°C,30.64°C,실 비,94%,3.32mm
Yaoundé (Cameroon),2025-06-15,20.14°C,24.58°C,보통 비,100%,12.06mm
Yaoundé (Cameroon),2025-06-16,19.71°C,26.54°C,보통 비,100%,17.17mm
Yaoundé (Cameroon),2025-06-17,19.72°C,27.87°C,실 비,100%,3.51mm
Yaoundé (Cameroon),2025-06-18,19.45°C,27.53°C,실 비,71%,1.5mm
Ottawa-Gatineau (Canada),2025-06-13,10.31°C,21.34°C,실 비,100%,0.27mm
Ottawa-Gatineau (Canada),2025-06-14,6.42°C,17.27°C,실 비,100%,0.59mm
Ottawa-Gatineau (Canada),2025-06-15,10.59°C,16.57°C,실 비,100%,7.2mm
Ottawa-Gatineau (Canada),2025-06-16,9.69°C,22.54°C,맑음,0%,0mm
Ottawa-Gatineau (Canada),2025-06-17,11.37°C,23.4°C,구름조금,0%,0mm
Ottawa-Gatineau (Canada),2025-06-18,14.06°C,18.15°C,실 비,100%,3.15mm
Ottawa-Gatineau (Canada),2025-06-19,13.68°C,25.14°C,튼구름,0%,0mm
Kralendijk (Caribbean Netherlands),2025-06-13,26.37°C,26.94°C,실 비,100%,5.07mm
Kralendijk (Caribbean Netherlands),2025-06-14,26.54°C,27.12°C,실 비,100%,2.5mm
Kralendijk (Caribbean Netherlands),2025-06-15,26.59°C,27.19°C,실 비,100%,12.01mm
Kralendijk (Caribbean Netherlands),2025-06-16,26.89°C,27.23°C,실 비,76%,1.12mm
Kralendijk (Caribbean Netherlands),2025-06-17,26.81°C,27.08°C,구름조금,0%,0mm
Kralendijk (Caribbean Netherlands),2025-06-18,26.89°C,27.22°C,온흐림,0%,0mm
Kralendijk (Caribbean Netherlands),2025-06-19,26.88°C,27.21°C,실 비,35%,0.39mm
George Town (Cayman Islands),2025-06-12,27.92°C,30.45°C,실 비,90%,1.02mm
George Town (Cayman Islands),2025-06-13,28°C,28.82°C,실 비,77%,0.54mm
George Town (Cayman Islands),2025-06-14,27.86°C,28.84°C,실 비,100%,2.33mm
George Town (Cayman Islands),2025-06-15,28.09°C,28.77°C,실 비,28%,0.73mm
George Town (Cayman Islands),2025-06-16,28.24°C,28.74°C,실 비,99%,1.47mm
George Town (Cayman Islands),2025-06-17,28.28°C,28.91°C,실 비,79%,1.2mm
George Town (Cayman Islands),2025-06-18,28.41°C,28.89°C,온흐림,52%,0mm
Bangui (Central African Republic),2025-06-12,21.19°C,35.83°C,실 비,93%,2.51mm
Bangui (Central African Republic),2025-06-13,21.43°C,28.17°C,보통 비,100%,5.86mm
Bangui (Central African Republic),2025-06-14,21.5°C,31.08°C,실 비,39%,0.22mm
Bangui (Central African Republic),2025-06-15,20.47°C,32.59°C,실 비,79%,3.16mm
Bangui (Central African Republic),2025-06-16,20.2°C,22.36°C,강한 비,100%,42.13mm
Bangui (Central African Republic),2025-06-17,19.97°C,27.88°C,실 비,40%,0.31mm
Bangui (Central African Republic),2025-06-18,20.95°C,28.46°C,실 비,53%,3.47mm
N'Djaména (Chad),2025-06-12,28.18°C,40.33°C,튼구름,0%,0mm
N'Djaména (Chad),2025-06-13,30.02°C,40.7°C,구름조금,0%,0mm
N'Djaména (Chad),2025-06-14,30.14°C,40.68°C,구름조금,0%,0mm
N'Djaména (Chad),2025-06-15,31.67°C,39.17°C,온흐림,3%,0mm
N'Djaména (Chad),2025-06-16,28.82°C,38.62°C,실 비,47%,0.16mm
N'Djaména (Chad),2025-06-17,28.11°C,39.9°C,튼구름,21%,0mm
N'Djaména (Chad),2025-06-18,27.37°C,38.22°C,튼구름,9%,0mm
St. Helier (Channel Islands),2025-06-12,15.43°C,18.08°C,보통 비,100%,12.36mm
St. Helier (Channel Islands),2025-06-13,15.35°C,18.75°C,보통 비,100%,5.31mm
St. Helier (Channel Islands),2025-06-14,14.83°C,16.17°C,튼구름,83%,0mm
St. Helier (Channel Islands),2025-06-15,14.44°C,15.42°C,맑음,0%,0mm
St. Helier (Channel Islands),2025-06-16,14.61°C,16.67°C,맑음,0%,0mm
St. Helier (Channel Islands),2025-06-17,14.48°C,18.71°C,약간의 구름이 낀 하늘,0%,0mm
St. Helier (Channel Islands),2025-06-18,15.07°C,15.81°C,온흐림,0%,0mm
St. Peter Port (Channel Islands),2025-06-12,14.79°C,17.65°C,강한 비,100%,12.43mm
St. Peter Port (Channel Islands),2025-06-13,14.73°C,17.48°C,보통 비,100%,3.62mm
St. Peter Port (Channel Islands),2025-06-14,14.46°C,15.76°C,맑음,63%,0mm
St. Peter Port (Channel Islands),2025-06-15,14.17°C,15.15°C,맑음,0%,0mm
St. Peter Port (Channel Islands),2025-06-16,14.01°C,15.94°C,맑음,0%,0mm
St. Peter Port (Channel Islands),2025-06-17,14.62°C,17.2°C,약간의 구름이 낀 하늘,0%,0mm
St. Peter Port (Channel Islands),2025-06-18,14.57°C,15.34°C,튼구름,0%,0mm
Santiago (Chile),2025-06-13,7.89°C,12.45°C,강한 비,100%,26.99mm
Santiago (Chile),2025-06-14,7.42°C,12.78°C,맑음,0%,0mm
Santiago (Chile),2025-06-15,8.43°C,14.74°C,맑음,0%,0mm
